Republican_percent,Republican_votes,Democratic_percent,Democratic_votes,State,year,President
42.61,504070,55.73,659170,AL,1976,Jimmy Carter
57.9,71555,35.65,44058,AK,1976,Jimmy Carter
56.37,418642,39.8,295602,AZ,1976,Jimmy Carter
34.93,268753,64.94,499614,AR,1976,Jimmy Carter
49.35,3882244,47.57,3742284,CA,1976,Jimmy Carter
54.05,584367,42.58,460353,CO,1976,Jimmy Carter
52.06,719261,46.9,647895,CT,1976,Jimmy Carter
46.57,109831,51.98,122596,DE,1976,Jimmy Carter
16.51,27873,81.63,137818,D.C.,1976,Jimmy Carter
46.64,1469531,51.93,1636000,FL,1976,Jimmy Carter
32.96,483743,66.74,979409,GA,1976,Jimmy Carter
48.06,140003,50.59,147375,HI,1976,Jimmy Carter
59.88,204151,37.12,126549,ID,1976,Jimmy Carter
50.1,2364269,48.13,2271295,IL,1976,Jimmy Carter
53.32,1183958,45.7,1014714,IN,1976,Jimmy Carter
49.47,632863,48.46,619931,IA,1976,Jimmy Carter
52.49,502752,44.94,430421,KS,1976,Jimmy Carter
45.57,531852,52.75,615717,KY,1976,Jimmy Carter
45.95,587446,51.73,661365,LA,1976,Jimmy Carter
48.91,236320,48.07,232279,ME,1976,Jimmy Carter
46.96,672661,53.04,759612,MD,1976,Jimmy Carter
40.44,1030276,56.11,1429475,MA,1976,Jimmy Carter
51.83,1893742,46.44,1696714,MI,1976,Jimmy Carter
42.02,819395,54.9,1070440,MN,1976,Jimmy Carter
47.68,366846,49.56,381309,MS,1976,Jimmy Carter
47.47,927443,51.1,998387,MO,1976,Jimmy Carter
52.84,173703,45.4,149259,MT,1976,Jimmy Carter
59.19,359705,38.46,233692,NE,1976,Jimmy Carter
50.17,101273,45.81,92479,NV,1976,Jimmy Carter
54.75,185935,43.47,147635,NH,1976,Jimmy Carter
50.08,1509688,47.92,1444653,NJ,1976,Jimmy Carter
50.75,211419,48.28,201148,NM,1976,Jimmy Carter
47.52,3100791,51.95,3389558,NY,1976,Jimmy Carter
44.22,741960,55.27,927365,NC,1976,Jimmy Carter
51.66,153470,45.8,136078,ND,1976,Jimmy Carter
48.65,2000505,48.92,2011621,OH,1976,Jimmy Carter
49.96,545708,48.75,532442,OK,1976,Jimmy Carter
47.78,492120,47.62,490407,OR,1976,Jimmy Carter
47.73,2205604,50.4,2328677,PA,1976,Jimmy Carter
44.08,181249,55.36,227636,RI,1976,Jimmy Carter
43.13,346140,56.17,450825,SC,1976,Jimmy Carter
50.39,151505,48.91,147068,SD,1976,Jimmy Carter
42.94,633969,55.94,825879,TN,1976,Jimmy Carter
47.97,1953300,51.14,2082319,TX,1976,Jimmy Carter
