State,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alabama,5413,5890,6572,7234,7913,8744,9222,9855,10792,11565,12183,12823,13765,14965,15820,16506,17537,18082,18938,19866,20569,21480,22760,23516,24649,25569,26093,27045,28802,30202,31683,32911,33910,33027,34073,35202,36036,36176,37512,38965,39447.08326
Alaska,12320,12649,12869,13555,15309,16863,19150,19181,19391,20230,19969,19340,20066,21820,22863,23149,23938,24753,25404,26041,26565,27812,28751,29442,31481,32870,33978,35268,36577,38521,40545,43388,47271,46192,47773,50552,52269,51259,54012,55940,55437.83883
Arizona,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24164,24987,26553,27220,27590,28446,30222,32429,34848,35929,36077,34063,34185,35675,36788,36723,37895,39060,40272.85249
Arkansas,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21190,21856,22803,23873,24237,25462,26855,27915,29479,31180,32434,31629,31991,33961,36291,36529,37782,39107,39634.59525
California,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29133,30663,33391,34091,34306,35381,37244,39046,41693,43182,43786,41588,42411,44852,47614,48125,49985,52651,56270.03932
Colorado,7108,7742,8702,9701,10887,12243,13060,13712,14795,15446,15912,16397,17342,18685,19611,20286,21377,22402,23420,24778,26090,27388,29734,31391,34234,35247,35002,35412,36676,38665,40709,42265,43631,41508,41877,44349,46402,46746,48869,50410,52251.89941
Connecticut,7940,8742,9714,10902,12353,13799,14851,15766,17565,18728,20027,21740,23794,25743,26418,26522,28558,29468,30176,31722,33143,35214,37555,39160,42209,43696,43405,44187,47105,49481,53363,56723,57776,55505,57347,59884,62738,62112,64864,66972,71760.78415
D.C.,9407,10315,11180,12058,13090,14086,15087,15776,17208,18199,19010,20067,22274,23985,25731,27081,28764,30086,31091,31755,33536,35596,37988,39412,43223,45093,46121,47830,50945,53902,57730,61107,66220,62823,63741,67359,68973,68606,69838,71496,76167.47655
Delaware,7445,7984,8713,9555,10806,11874,12727,13483,14709,15860,16622,17693,19021,20838,21511,22308,22920,23426,23973,24972,26310,27097,28948,30012,32109,33994,34875,35438,37263,38571,40735,41372,42319,41633,41783,43555,44747,44819,46378,47662,48859.05899
Florida,6594,7221,8122,8993,10181,11364,11963,12953,14036,15007,15790,16620,17772,19319,19956,20217,20986,21847,22504,23686,24667,25551,27048,27900,29597,30574,31032,31927,34042,36294,38812,39945,40018,37479,38718,40538,41249,41309,42737,44101,46000.76682
